Data,Precipitação,Radiação,Temperatura,Umidade,Velocidade do Vento,Direção do Vento
2018-01-01,0.675,849.385,21.571,81.833,1.429,155.667
2018-01-02,0.033,1566.622,21.067,81.5,1.628,193.889
2018-01-03,0.033,1566.622,21.067,81.5,1.628,193.889
2018-01-04,0.0,764.833,24.843,60.0,2.767,264.333
2018-01-05,0.475,590.4,20.179,85.292,1.763,274.292
2018-01-06,1.267,808.943,19.425,86.417,1.808,281.333
2018-01-07,0.058,1446.471,20.396,79.708,2.062,251.333
2018-01-08,0.958,1237.529,20.296,81.333,1.629,161.042
2018-01-09,0.008,1843.014,21.713,70.958,2.275,145.042
2018-01-10,0.0,1944.871,22.892,65.833,3.433,103.583
2018-01-11,0.0,1979.586,22.888,65.833,3.521,94.0
2018-01-12,0.0,1762.554,21.475,64.5,2.529,178.792
2018-01-13,0.3,1448.486,20.188,74.792,1.508,176.333
2018-01-14,0.05,1158.531,19.204,82.333,1.967,170.25
2018-01-15,0.0,1441.9,20.096,80.458,1.612,176.75
2018-01-16,0.008,2073.531,22.3,71.292,2.092,119.625
2018-01-17,0.0,2059.271,23.179,61.208,2.5,110.917
2018-01-18,0.0,1935.931,23.033,51.792,2.387,97.5
2018-01-19,0.0,2265.638,22.908,57.292,2.379,105.417
2018-01-20,0.0,2127.123,24.213,48.833,2.371,102.833
2018-01-21,0.0,2110.462,24.075,48.833,1.812,131.083
2018-01-22,0.0,1972.043,24.425,51.333,2.254,115.292
2018-01-23,0.0,2317.985,24.562,43.375,2.2,107.667
2018-01-24,0.0,2028.362,24.662,53.208,2.525,119.458
2018-01-25,0.467,1193.669,21.417,78.667,1.85,205.125
2018-01-26,0.55,1106.792,21.062,80.167,1.537,197.583
2018-01-27,1.35,1488.162,20.917,83.083,1.738,255.917
2018-01-28,0.008,1623.943,21.308,79.417,2.308,190.083
2018-01-29,0.033,1262.446,21.742,78.75,2.171,276.0
2018-01-30,0.008,1414.515,22.217,75.5,2.267,303.625
2018-01-31,0.375,1380.038,22.262,77.083,2.312,281.125
2018-02-01,0.683,1243.815,21.217,81.792,3.167,326.417
2018-02-02,1.025,1398.077,21.325,83.792,3.079,326.917
2018-02-03,1.558,1406.738,20.683,85.625,3.071,292.75
2018-02-04,0.675,358.062,17.979,90.042,2.008,134.667
2018-02-05,0.008,1182.369,19.15,83.792,2.392,212.0
2018-02-06,0.0,1846.946,20.467,78.708,3.192,307.125
2018-02-07,3.158,1200.1,20.179,81.958,2.012,289.542
2018-02-08,0.008,1703.215,21.146,77.708,1.883,221.042
2018-02-09,0.008,1312.431,22.383,79.167,1.967,117.333
2018-02-10,0.15,1323.254,21.012,80.417,2.271,173.417
2018-02-11,0.0,2070.938,22.229,73.542,1.829,161.0
2018-02-12,0.0,2079.554,23.267,67.417,2.058,110.417
2018-02-13,0.0,2069.5,23.696,49.0,2.346,87.167
2018-02-14,0.0,2225.823,23.492,57.125,2.829,101.042
2018-02-15,0.0,1697.585,22.708,61.458,3.25,97.083
2018-02-16,0.0,1776.608,22.542,68.125,3.133,104.375
2018-02-17,0.0,1918.731,23.342,63.5,3.175,79.958
2018-02-18,0.017,1387.138,21.908,73.708,2.679,162.833
2018-02-19,0.792,1158.338,20.708,83.875,1.171,156.75
2018-02-20,0.05,1156.762,21.446,79.875,1.579,219.542
2018-02-21,0.892,863.4,20.938,87.0,1.617,222.667
2018-02-22,0.075,1233.592,19.742,84.958,2.671,296.708
2018-02-23,0.008,1582.562,21.442,77.542,2.35,298.833
2018-02-24,0.858,1821.823,21.358,79.0,1.75,198.75
2018-02-25,0.092,1808.162,21.483,80.042,2.521,137.417
2018-02-26,0.258,1107.969,20.883,82.375,1.771,189.125
2018-02-27,0.35,1470.793,22.354,77.417,1.517,151.0
2018-02-28,0.075,1524.2,22.838,74.833,1.588,144.583
2018-03-01,0.0,2056.115,22.612,67.125,1.854,121.625
2018-03-02,0.008,1333.946,21.729,70.375,1.633,189.625
2018-03-03,0.0,1409.608,22.083,74.208,1.329,150.917
2018-03-04,1.683,1793.25,23.15,71.458,1.333,192.917
2018-03-05,0.808,1695.214,22.708,72.208,2.175,214.708
2018-03-06,0.1,1377.731,22.812,75.083,1.675,271.167
2018-03-07,0.983,1092.246,22.338,80.375,1.65,227.542
2018-03-08,0.417,1093.262,21.262,84.583,1.971,203.5
2018-03-09,1.4,1278.015,20.85,86.833,1.421,236.125
2018-03-10,0.283,1483.238,21.171,85.375,2.508,284.833
2018-03-11,0.083,929.415,20.438,86.792,2.742,308.042
2018-03-12,0.117,1318.085,22.012,79.667,1.592,284.583
2018-03-13,1.142,1241.9,22.783,81.25,1.483,261.25
2018-03-14,0.108,1255.115,21.525,84.667,1.942,223.208
2018-03-15,0.0,1494.846,22.033,79.333,1.988,190.667
2018-03-16,0.0,1805.169,23.3,69.625,1.275,190.917
2018-03-17,0.0,1453.2,22.204,76.667,2.15,131.208
2018-03-18,0.0,1456.2,22.325,74.0,1.629,154.708
2018-03-19,0.0,1721.692,23.254,70.333,2.167,97.833
2018-03-20,0.283,1709.738,22.129,77.417,2.054,266.458
2018-03-21,0.633,1069.315,21.846,79.5,1.604,236.125
2018-03-22,0.017,912.754,21.5,80.208,1.542,194.833
2018-03-23,0.0,1566.215,21.642,78.042,1.783,130.75
2018-03-24,1.017,1048.277,20.467,82.458,1.963,98.125
2018-03-25,0.283,1394.692,21.858,77.0,2.442,88.0
2018-03-26,0.0,1556.592,21.929,71.875,2.646,60.458
2018-03-27,0.0,1745.369,21.921,65.333,2.946,78.875
2018-03-28,0.0,1749.331,22.033,64.458,2.908,91.958
2018-03-29,0.0,1964.969,21.942,64.833,2.988,94.292
2018-03-30,0.0,1154.362,22.233,66.25,2.65,78.667
2018-03-31,0.133,1113.508,22.125,70.792,1.992,57.042
2018-04-01,0.025,1439.733,21.338,78.333,1.704,127.25
2018-04-02,0.625,758.615,20.392,86.417,1.283,184.5
2018-04-03,1.942,1320.754,21.621,78.792,1.646,218.167
2018-04-04,0.392,917.885,20.758,87.542,1.242,179.125
2018-04-05,0.025,1247.867,21.238,83.167,1.537,166.292
2018-04-06,0.667,1233.408,20.825,82.125,2.396,146.25
2018-04-07,0.817,1207.917,20.654,82.667,2.004,122.0
2018-04-08,0.092,1050.808,19.667,87.708,1.917,121.708
2018-04-09,0.275,1230.725,20.021,81.75,2.308,78.292
2018-04-10,0.008,1507.9,20.608,77.917,2.954,90.958
2018-04-11,0.0,1715.342,20.787,75.917,3.608,93.417
2018-04-12,0.0,1343.083,19.633,74.625,2.925,77.792
2018-04-13,0.0,1460.733,20.383,76.458,2.908,102.542
2018-04-14,0.275,757.192,19.804,81.208,2.667,94.125
2018-04-15,0.0,1374.992,20.588,79.167,3.104,116.792
2018-04-16,2.142,1376.992,20.517,80.417,2.496,118.917
2018-04-17,0.0,865.417,19.483,80.625,3.679,102.708
2018-04-18,0.0,650.908,18.333,81.875,3.533,96.875
2018-04-19,0.0,1509.823,19.588,75.75,2.729,93.167
2018-04-20,0.0,1236.95,20.108,76.292,2.012,107.625
2018-04-21,0.0,1396.758,19.979,75.292,1.275,133.75
2018-04-22,0.0,1439.0,20.608,70.375,1.754,114.042
2018-04-23,0.825,1436.315,20.562,75.792,2.467,96.208
2018-04-24,0.008,1863.267,21.142,72.25,2.762,105.583
2018-04-25,0.0,1808.3,21.15,69.375,2.792,96.75
2018-04-26,0.0,1555.767,21.058,68.75,1.971,104.667
2018-04-27,0.783,1516.185,20.8,73.667,2.154,99.042
2018-04-28,0.0,1863.85,21.65,67.167,2.346,105.542
2018-04-29,0.0,1793.575,21.225,67.458,2.396,109.25
2018-04-30,0.0,1619.933,20.879,66.083,2.029,100.375
2018-05-01,0.0,1777.058,20.754,62.458,1.938,109.417
2018-05-02,0.0,1815.108,20.042,62.333,2.167,100.875
2018-05-03,0.0,1789.133,21.629,66.042,2.358,93.583
2018-05-04,0.0,1683.725,21.612,68.375,2.596,110.292
2018-05-05,0.0,1785.283,21.125,65.75,2.387,108.083
2018-05-06,0.0,1771.925,21.008,65.25,2.846,105.667
2018-05-07,0.0,1763.483,20.754,63.625,2.479,112.542
2018-05-08,0.0,1659.117,20.463,65.042,2.367,113.833
2018-05-09,0.0,1752.183,19.946,62.75,3.017,110.167
2018-05-10,0.0,1631.917,19.674,69.0,3.017,92.217
2018-05-11,0.0,1485.8,19.908,64.25,1.787,98.875
2018-05-12,0.0,1574.617,19.979,62.042,1.458,132.875
2018-05-13,0.0,1747.692,20.021,57.958,1.517,123.333
2018-05-14,0.0,1716.892,20.367,58.375,2.104,110.5
2018-05-15,0.0,1718.567,20.758,64.375,2.592,99.958
2018-05-16,0.0,1391.758,19.908,66.583,1.638,129.083
2018-05-17,0.0,1104.2,19.858,69.417,1.279,99.083
2018-05-18,0.0,1372.283,21.146,65.917,2.008,85.625
2018-05-19,0.275,1024.733,20.292,73.333,2.121,193.708
2018-05-20,0.125,1254.45,17.071,83.25,1.963,215.667
2018-05-21,0.0,1646.842,17.308,65.125,1.758,127.458
2018-05-22,0.0,1592.008,18.713,64.958,1.567,119.583
2018-05-23,0.0,1523.408,19.537,61.542,1.925,117.333
2018-05-24,0.0,1470.783,20.258,71.75,2.404,116.875
2018-05-25,0.0,1155.967,19.4,76.083,3.154,101.875
2018-05-26,0.0,1715.817,18.808,70.417,3.067,107.583
2018-05-27,0.0,1309.975,18.125,71.083,3.15,114.917
2018-05-28,0.0,1509.95,17.579,72.833,3.208,106.208
2018-05-29,0.0,1411.833,17.721,72.625,2.742,104.333
2018-05-30,0.0,1506.917,17.958,68.333,2.754,102.917
2018-05-31,0.0,1572.158,17.883,63.083,2.096,112.417
2018-06-01,0.0,1402.958,17.883,63.167,1.521,108.875
2018-06-02,0.0,1669.467,18.383,59.542,1.754,126.125
2018-06-03,0.0,1565.292,18.925,58.167,2.058,134.667
2018-06-04,0.0,1597.708,19.367,62.667,2.412,120.458
2018-06-05,0.0,1504.983,20.058,63.25,2.246,100.167
2018-06-06,0.0,1107.658,19.408,70.875,1.533,178.958
2018-06-07,0.0,1411.933,20.696,66.208,1.542,266.625
2018-06-08,0.0,1485.775,21.471,66.083,1.633,147.167
2018-06-09,0.0,1397.058,20.917,69.25,1.988,116.958
2018-06-10,0.0,1579.283,21.725,62.333,2.675,88.333
2018-06-11,0.0,1271.717,20.708,67.042,2.346,75.833
2018-06-12,0.0,1328.45,20.546,64.125,1.654,82.417
2018-06-13,0.0,1455.517,20.667,60.708,1.583,126.208
2018-06-14,0.0,1488.308,20.221,58.292,2.05,116.292
2018-06-15,0.0,1586.067,19.567,57.667,1.796,120.292
2018-06-16,0.0,1610.275,18.838,55.708,2.292,118.208
2018-06-17,0.0,1635.05,17.746,60.5,2.167,116.917
2018-06-18,0.0,1587.258,18.167,60.75,2.538,109.417
2018-06-19,0.0,1201.275,17.912,60.958,2.892,104.667
2018-06-20,0.0,1472.483,18.954,63.042,3.083,106.375
2018-06-21,0.0,1516.833,19.3,62.542,2.95,90.75
2018-06-22,0.0,1621.867,19.004,60.875,2.067,104.417
2018-06-23,0.0,1590.058,19.596,52.375,2.208,86.125
2018-06-24,0.0,1539.567,18.333,53.083,1.738,119.792
2018-06-25,0.0,1501.833,19.025,54.625,2.379,92.333
2018-06-26,0.0,1508.642,20.133,50.292,1.912,101.042
2018-06-27,0.0,1590.967,19.746,48.875,1.95,78.042
2018-06-28,0.0,1617.083,19.496,47.333,2.721,94.833
2018-06-29,0.0,1617.5,18.371,53.667,2.554,107.375
2018-06-30,0.0,1607.25,17.871,58.125,1.812,111.042
2018-07-01,0.0,1500.75,18.612,59.5,1.729,108.0
2018-07-02,0.0,1606.017,20.012,54.625,1.904,89.75
2018-07-03,0.0,1540.05,19.054,54.0,1.812,136.125
2018-07-04,0.0,1605.217,18.746,51.917,2.188,115.667
2018-07-05,0.0,1622.25,18.883,48.458,2.629,102.042
2018-07-06,0.0,1629.483,18.3,50.75,2.517,102.958
2018-07-07,0.0,1614.892,19.65,50.167,2.346,82.625
2018-07-08,0.0,1604.517,19.592,59.708,1.192,158.833
2018-07-09,0.0,1541.192,20.508,56.042,1.408,143.708
2018-07-10,0.0,1580.233,20.133,54.833,1.942,143.542
2018-07-11,0.0,1485.767,18.779,60.917,1.879,166.792
2018-07-12,0.0,1382.633,19.037,60.792,1.483,134.833
2018-07-13,0.0,1546.517,19.846,55.375,1.929,129.0
2018-07-14,0.0,1538.233,19.917,51.625,2.404,96.833
2018-07-15,0.0,1567.217,19.583,51.833,2.387,99.5
2018-07-16,0.0,1503.225,19.504,55.042,2.671,107.5
2018-07-17,0.0,1608.892,19.092,58.083,2.917,106.458
2018-07-18,0.0,1039.942,18.938,63.542,3.079,90.333
2018-07-19,0.0,1671.533,19.108,50.708,3.017,95.125
2018-07-20,0.0,1677.175,19.379,51.333,2.8,97.875
2018-07-21,0.0,1678.208,18.971,55.208,2.075,117.917
2018-07-22,0.0,1639.75,19.321,50.25,2.517,104.25
2018-07-23,0.0,1700.35,18.867,46.333,3.454,104.333
2018-07-24,0.0,1701.375,18.204,50.958,3.05,103.292
2018-07-25,0.0,1665.008,18.675,52.333,3.238,96.042
2018-07-26,0.0,1651.233,18.708,49.458,2.433,100.583
2018-07-27,0.0,1682.683,18.917,49.667,2.383,108.625
2018-07-28,0.0,1704.792,20.0,45.958,2.208,95.542
2018-07-29,0.0,1724.15,19.946,44.042,1.979,113.833
2018-07-30,0.0,1698.092,20.817,42.958,1.842,86.333
2018-07-31,0.0,1232.45,20.296,45.25,1.246,209.25
2018-08-01,0.0,1494.875,21.338,40.917,1.083,180.458
2018-08-02,0.0,1100.758,22.25,43.375,1.537,200.208
2018-08-03,0.0,1358.1,21.779,49.0,2.288,141.875
2018-08-04,0.0,1154.25,22.146,47.0,1.521,266.458
2018-08-05,0.0,1091.685,22.229,48.542,1.317,173.875
2018-08-06,0.0,1113.708,22.388,48.333,1.296,198.458
2018-08-07,0.0,1520.617,21.971,55.542,2.579,152.708
2018-08-08,0.0,1609.808,22.304,55.958,2.633,105.917
2018-08-09,0.092,852.875,21.242,63.542,1.704,131.375
2018-08-10,0.0,1211.358,21.329,63.25,1.271,184.5
2018-08-11,0.0,1794.292,22.421,47.875,1.9,217.667
2018-08-12,0.0,1863.517,21.096,26.583,1.783,179.583
2018-08-13,0.0,1810.275,21.417,27.75,1.746,140.5
2018-08-14,0.0,1760.942,22.275,34.042,1.871,128.208
2018-08-15,0.0,1647.933,22.521,41.667,1.771,127.792
2018-08-16,0.5,666.625,19.933,70.75,2.204,227.0
2018-08-17,0.0,775.554,18.129,80.208,2.912,81.0
2018-08-18,0.033,1308.4,18.996,72.833,2.929,97.458
2018-08-19,0.142,1620.723,20.1,65.458,2.317,110.292
2018-08-20,0.0,1593.592,21.029,53.375,2.738,101.625
2018-08-21,0.0,1900.817,21.2,43.417,2.367,107.792
2018-08-22,0.0,1811.175,22.025,45.667,2.429,112.333
2018-08-23,0.0,1736.025,22.904,43.042,2.592,99.583
2018-08-24,0.0,1735.654,23.767,39.375,2.929,81.042
2018-08-25,0.042,1349.762,22.933,44.833,1.85,149.792
2018-08-26,0.15,1517.329,22.662,52.833,2.725,139.958
2018-08-27,0.0,1706.923,22.213,53.833,3.4,120.917
2018-08-28,0.0,1821.162,21.05,51.792,4.75,93.25
2018-08-29,0.0,1758.015,20.817,47.708,3.371,87.417
2018-08-30,0.0,1878.8,21.488,41.083,3.283,85.042
2018-08-31,0.0,1865.854,21.904,38.708,2.692,89.5
2018-09-01,0.0,1857.962,23.054,35.875,2.262,74.125
2018-09-02,0.0,1856.785,23.617,35.708,2.1,74.542
2018-09-03,0.0,1644.0,23.471,40.75,2.054,266.0
