t,0,1,2
1,19.4,26.3,1
2,17.9,27.3,1
3,22.2,27.2,1
4,18.1,23.9,1
5,17.6,23.6,1
6,17.1,26.1,1
7,16.5,26.2,1
8,17.5,27.8,1
9,18.6,27.8,1
10,19.0,27.5,1
11,16.6,27.4,1
12,15.2,27.8,1
13,16.7,22.5,1
14,16.5,27.3,1
15,17.2,28.6,1
16,17.6,28.3,1
17,15.5,28.1,1
18,15.6,29.2,1
19,16.3,29.7,1
20,16.1,30.6,1
21,17.2,30.8,1
22,16.1,30.8,1
23,20.3,29.8,1
24,18.7,26.4,1
25,18.5,26.8,1
26,18.0,27.6,1
27,18.1,26.6,1
28,19.2,27.9,1
29,18.6,28.5,1
30,19.5,28.2,1
31,18.3,26.4,1
32,18.6,26.9,1
33,17.8,26.5,1
34,16.3,20.4,1
35,17.1,23.2,1
36,17.0,26.0,1
37,16.7,26.5,1
38,16.1,27.8,1
39,19.6,26.9,1
40,18.2,27.3,1
41,16.7,28.8,1
42,18.2,28.7,1
43,16.5,28.5,1
44,16.7,28.8,1
45,18.5,27.1,1
46,18.9,28.3,1
47,19.6,28.7,1
48,18.8,27.7,1
49,18.3,26.9,1
50,18.1,26.0,1
51,18.9,25.6,1
52,17.9,24.4,1
53,17.5,27.7,1
54,16.9,29.6,1
55,18.3,28.0,1
56,18.2,26.9,1
57,18.9,28.1,1
58,18.2,29.5,1
59,17.4,30.5,1
60,18.1,27.8,1
61,17.2,28.7,1
62,18.3,31.3,1
63,18.1,29.5,1
64,19.2,28.5,1
65,19.0,28.6,1
66,18.9,26.3,1
67,17.4,26.6,1
68,18.9,26.0,1
69,18.5,24.7,1
70,19.1,27.1,1
71,20.0,28.1,1
72,18.5,27.5,1
73,17.4,28.3,1
74,18.2,29.5,1
75,18.9,28.2,1
76,18.1,27.5,1
77,18.3,29.0,1
78,18.5,28.1,1
79,18.5,27.7,1
80,18.0,26.9,1
81,16.9,28.0,1
82,17.1,24.7,1
83,18.2,26.4,1
84,18.1,26.3,1
85,17.5,27.0,1
86,18.7,26.8,1
87,17.8,26.8,1
88,19.8,25.6,1
89,19.1,26.9,1
90,17.9,27.1,1
91,18.3,24.5,2
92,17.3,28.6,2
93,19.1,26.0,2
94,17.5,27.2,2
95,18.2,26.8,2
96,17.2,26.2,2
97,18.3,24.6,2
98,17.7,26.2,2
99,17.9,25.5,2
100,17.8,25.6,2
101,16.0,24.0,2
102,17.8,25.0,2
103,17.5,22.5,2
104,17.7,25.7,2
105,16.3,25.1,2
106,17.5,22.1,2
107,16.5,20.6,2
